NAME,year,rate,code
Alabama,2016,46257,1
Arizona,2016,53558,4
Arkansas,2016,44334,5
California,2016,67739,6
Colorado,2016,65685,8
Connecticut,2016,73433,9
Delaware,2016,61757,10
Florida,2016,50860,12
Georgia,2016,53559,13
Idaho,2016,51807,16
Illinois,2016,60960,17
Indiana,2016,52314,18
Iowa,2016,56247,19
Kansas,2016,54935,20
Kentucky,2016,46659,21
Louisiana,2016,45146,22
Maine,2016,53079,23
Maryland,2016,78945,24
Massachusetts,2016,75297,25
Michigan,2016,52492,26
Minnesota,2016,65599,27
Mississippi,2016,41754,28
Missouri,2016,51746,29
Montana,2016,50027,30
Nebraska,2016,56927,31
Nevada,2016,55180,32
New Hampshire,2016,70936,33
New Jersey,2016,76126,34
New Mexico,2016,46748,35
New York,2016,62909,36
North Carolina,2016,50584,37
North Dakota,2016,60656,38
Ohio,2016,52334,39
Oklahoma,2016,49176,40
Oregon,2016,57532,41
Pennsylvania,2016,56907,42
Rhode Island,2016,60596,44
South Carolina,2016,49501,45
South Dakota,2016,54467,46
Tennessee,2016,48547,47
Texas,2016,56565,48
Utah,2016,65977,49
Vermont,2016,57677,50
Virginia,2016,68114,51
Washington,2016,67106,53
West Virginia,2016,43385,54
Wisconsin,2016,56811,55
Wyoming,2016,59882,56
Alabama,2017,48123,1
Arizona,2017,56581,4
Arkansas,2017,45869,5
California,2017,71805,6
Colorado,2017,69117,8
Connecticut,2017,74168,9
Delaware,2017,62852,10
Florida,2017,52594,12
Georgia,2017,56183,13
Idaho,2017,52225,16
Illinois,2017,62992,17
Indiana,2017,54181,18
Iowa,2017,58570,19
Kansas,2017,56422,20
Kentucky,2017,48375,21
Louisiana,2017,46145,22
Maine,2017,56277,23
Maryland,2017,80776,24
Massachusetts,2017,77385,25
Michigan,2017,54909,26
Minnesota,2017,68388,27
Mississippi,2017,43529,28
Missouri,2017,53578,29
Montana,2017,53386,30
Nebraska,2017,59970,31
Nevada,2017,58003,32
New Hampshire,2017,73381,33
New Jersey,2017,80088,34
New Mexico,2017,46744,35
New York,2017,64894,36
North Carolina,2017,52752,37
North Dakota,2017,61843,38
Ohio,2017,54021,39
Oklahoma,2017,50051,40
Oregon,2017,60212,41
Pennsylvania,2017,59195,42
Rhode Island,2017,63870,44
South Carolina,2017,50570,45
South Dakota,2017,56521,46
Tennessee,2017,51340,47
Texas,2017,59206,48
Utah,2017,68358,49
Vermont,2017,57513,50
Virginia,2017,71535,51
Washington,2017,70979,53
West Virginia,2017,43469,54
Wisconsin,2017,59305,55
Wyoming,2017,60434,56
Alabama,2018,49861,1
Arizona,2018,59246,4
Arkansas,2018,47062,5
California,2018,75277,6
Colorado,2018,71953,8
Connecticut,2018,76348,9
Delaware,2018,64805,10
Florida,2018,55462,12
Georgia,2018,58756,13
Idaho,2018,55583,16
Illinois,2018,65030,17
Indiana,2018,55746,18
Iowa,2018,59955,19
Kansas,2018,58218,20
Kentucky,2018,50247,21
Louisiana,2018,47905,22
Maine,2018,55602,23
Maryland,2018,83242,24
Massachusetts,2018,79835,25
Michigan,2018,56697,26
Minnesota,2018,70315,27
Mississippi,2018,44717,28
Missouri,2018,54478,29
Montana,2018,55328,30
Nebraska,2018,59566,31
Nevada,2018,58646,32
New Hampshire,2018,74991,33
New Jersey,2018,81740,34
New Mexico,2018,47169,35
New York,2018,67844,36
North Carolina,2018,53855,37
North Dakota,2018,63837,38
Ohio,2018,56111,39
Oklahoma,2018,51924,40
Oregon,2018,63426,41
Pennsylvania,2018,60905,42
Rhode Island,2018,64340,44
South Carolina,2018,52306,45
South Dakota,2018,56274,46
Tennessee,2018,52375,47
Texas,2018,60629,48
Utah,2018,71414,49
Vermont,2018,60782,50
Virginia,2018,72577,51
Washington,2018,74073,53
West Virginia,2018,44097,54
Wisconsin,2018,60773,55
Wyoming,2018,61584,56
Alabama,2019,51734,1
Arizona,2019,62055,4
Arkansas,2019,48952,5
California,2019,80440,6
Colorado,2019,77127,8
Connecticut,2019,78833,9
Delaware,2019,70176,10
Florida,2019,59227,12
Georgia,2019,61980,13
Idaho,2019,60999,16
Illinois,2019,69187,17
Indiana,2019,57603,18
Iowa,2019,61691,19
Kansas,2019,62087,20
Kentucky,2019,52295,21
Louisiana,2019,51073,22
Maine,2019,58924,23
Maryland,2019,86738,24
Massachusetts,2019,85843,25
Michigan,2019,59584,26
Minnesota,2019,74593,27
Mississippi,2019,45792,28
Missouri,2019,57409,29
Montana,2019,57153,30
Nebraska,2019,63229,31
Nevada,2019,63276,32
New Hampshire,2019,77933,33
New Jersey,2019,85751,34
New Mexico,2019,51945,35
New York,2019,72108,36
North Carolina,2019,57341,37
North Dakota,2019,64577,38
Ohio,2019,58642,39
Oklahoma,2019,54449,40
Oregon,2019,67058,41
Pennsylvania,2019,63463,42
Rhode Island,2019,71169,44
South Carolina,2019,56227,45
South Dakota,2019,59533,46
Tennessee,2019,56071,47
Texas,2019,64034,48
Utah,2019,75780,49
Vermont,2019,63001,50
Virginia,2019,76456,51
Washington,2019,78687,53
West Virginia,2019,48850,54
Wisconsin,2019,64168,55
Wyoming,2019,65003,56
Alabama,2020,52035,1
Arizona,2020,61529,4
Arkansas,2020,49475,5
California,2020,78672,6
Colorado,2020,75231,8
Connecticut,2020,79855,9
Delaware,2020,69110,10
Florida,2020,57703,12
Georgia,2020,61224,13
Idaho,2020,58915,16
Illinois,2020,68428,17
Indiana,2020,58235,18
Iowa,2020,61836,19
Kansas,2020,61091,20
Kentucky,2020,52238,21
Louisiana,2020,50800,22
Maine,2020,59489,23
Maryland,2020,87063,24
Massachusetts,2020,84385,25
Michigan,2020,59234,26
Minnesota,2020,73382,27
Mississippi,2020,46511,28
Missouri,2020,57290,29
Montana,2020,56539,30
Nebraska,2020,63015,31
Nevada,2020,62043,32
New Hampshire,2020,77923,33
New Jersey,2020,85245,34
New Mexico,2020,51243,35
New York,2020,71117,36
North Carolina,2020,56642,37
North Dakota,2020,65315,38
Ohio,2020,58116,39
Oklahoma,2020,53840,40
Oregon,2020,65667,41
Pennsylvania,2020,63627,42
Rhode Island,2020,70305,44
South Carolina,2020,54864,45
South Dakota,2020,59896,46
Tennessee,2020,54833,47
Texas,2020,63826,48
Utah,2020,74197,49
Vermont,2020,63477,50
Virginia,2020,76398,51
Washington,2020,77006,53
West Virginia,2020,48037,54
Wisconsin,2020,63293,55
Wyoming,2020,65304,56
