mhaName,year,rate,code
"ABERDEEN PROVING GROUNDS	 MD	",2016,1542,1
"ABERDEEN PROVING GROUNDS	 MD	",2016,1542,3
"ABILENE/DYESS AFB	 TX	",2016,1146,5
"AKRON	 OH	",2016,1239,7
"ALBANY	 GA	",2016,927,9
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2016,1362,11
"ALEXANDRIA	 LA	",2016,1092,13
"ALLENTOWN/BETHLEHEM	 PA	",2016,1608,15
"ALLENTOWN/BETHLEHEM	 PA	",2016,1608,17
"ALTUS AFB	 OK	",2016,855,19
"ANCHORAGE	 AK	",2016,2115,21
"ANN ARBOR	 MI	",2016,1638,23
"ANNISTON/FORT MCCLELLAN AL	",2016,840,25
"ASHEVILLE	 NC	",2016,1470,27
"ASTORIA	 OR	",2016,1149,29
"ASTORIA	 OR	",2016,1149,31
"BALLSTON SPA/ALBANY	 NY	",2016,1896,33
"BALLSTON SPA/ALBANY	 NY	",2016,1896,35
"BALLSTON SPA/ALBANY	 NY	",2016,1896,37
"BANGOR	 ME	",2016,1134,39
"BARSTOW/FORT IRWIN	 CA	",2016,1068,41
"BEALE AFB	 CA	",2016,1722,43
"BEAUFORT/PARRIS ISLAND	 SC	",2016,1344,45
"BISMARCK	 ND	",2016,1461,47
"BLOOMINGTON	 IN	",2016,1191,49
"BOISE	 ID	",2016,963,51
"BOULDER	 CO	",2016,1806,53
"CHAMPAIGN/URBANA	 IL	",2016,1011,55
CHARLESTON WV,2016,1188,57
"CHARLOTTESVILLE	 VA	",2016,1701,59
"CHATTANOOGA	 TN	",2016,1413,61
"CINCINNATI	 OH	",2016,1590,63
"COLUMBIA/JEFFERSON CITY	MO	",2016,969,65
"COLUMBUS AFB	 MS	",2016,819,67
"DAVIS-MONTHAN AFB	 AZ	",2016,1239,69
"DES MOINES	 IA	",2016,1425,71
"DULUTH	 MN	",2016,1443,73
"DULUTH	 MN	",2016,1443,75
"EGLIN AFB	 FL	",2016,1356,77
"ESSEX CO	 MA	",2016,2379,79
"FAYETTEVILLE	 AR	",2016,909,81
"FORT COLLINS	 CO	",2016,1536,83
"FORT COLLINS	 CO	",2016,1536,85
"FORT LEAVENWORTH	 KS	",2016,1128,87
"HAMPDEN COUNTY	 MA	",2016,1719,89
"HAWAII COUNTY	 HI	",2016,1731,91
"HELENA	 MT	",2016,1056,93
"NEW LONDON	 CT	",2016,1500,95
"OGDEN/HILL AFB	 UT	",2016,1119,97
"RAPID CITY/ELLSWORTH AFB	 SD	",2016,1116,99
"ABERDEEN PROVING GROUNDS	 MD	",2017,1599,101
"ABERDEEN PROVING GROUNDS	 MD	",2017,1599,103
"ABILENE/DYESS AFB	 TX	",2017,1086,105
"AKRON	 OH	",2017,1236,107
"ALBANY	 GA	",2017,969,109
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2017,1275,111
"ALEXANDRIA	 LA	",2017,1233,113
"ALLENTOWN/BETHLEHEM	 PA	",2017,1611,115
"ALLENTOWN/BETHLEHEM	 PA	",2017,1611,117
"ALTUS AFB	 OK	",2017,873,119
"ANCHORAGE	 AK	",2017,2220,121
"ANN ARBOR	 MI	",2017,1710,123
"ANNISTON/FORT MCCLELLAN AL	",2017,813,125
"ASHEVILLE	 NC	",2017,1530,127
"ASTORIA	 OR	",2017,1206,129
"ASTORIA	 OR	",2017,1206,131
"BALLSTON SPA/ALBANY	 NY	",2017,2070,133
"BALLSTON SPA/ALBANY	 NY	",2017,2070,135
"BALLSTON SPA/ALBANY	 NY	",2017,2070,137
"BANGOR	 ME	",2017,1290,139
"BARSTOW/FORT IRWIN	 CA	",2017,1215,141
