name,year,rate,code
"ABERDEEN PROVING GROUNDS	 MD	",2016,1542,30
"ABERDEEN PROVING GROUNDS	 MD	",2016,1542,42
"ABILENE/DYESS AFB	 TX	",2016,1146,5
"AKRON	 OH	",2016,1239,8
"ALBANY	 GA	",2016,927,10
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2016,1362,3
"ALEXANDRIA	 LA	",2016,1092,36
"ALLENTOWN/BETHLEHEM	 PA	",2016,1608,13
"ALLENTOWN/BETHLEHEM	 PA	",2016,1608,41
"ALTUS AFB	 OK	",2016,855,17
"ANCHORAGE	 AK	",2016,2115,50
"ANN ARBOR	 MI	",2016,1638,37
"ANNISTON/FORT MCCLELLAN AL	",2016,840,9
"ASHEVILLE	 NC	",2016,1470,16
"ASTORIA	 OR	",2016,1149,2
"ASTORIA	 OR	",2016,1149,12
"BALLSTON SPA/ALBANY	 NY	",2016,1896,19
"BALLSTON SPA/ALBANY	 NY	",2016,1896,24
"BALLSTON SPA/ALBANY	 NY	",2016,1896,38
"BANGOR	 ME	",2016,1134,44
"BARSTOW/FORT IRWIN	 CA	",2016,1068,6
"BEALE AFB	 CA	",2016,1722,23
"BEAUFORT/PARRIS ISLAND	 SC	",2016,1344,43
"BISMARCK	 ND	",2016,1461,27
"BLOOMINGTON	 IN	",2016,1191,20
"BOISE	 ID	",2016,963,22
"BOULDER	 CO	",2016,1806,32
"CHAMPAIGN/URBANA	 IL	",2016,1011,49
CHARLESTON WV,2016,1188,18
"CHARLOTTESVILLE	 VA	",2016,1701,34
"CHATTANOOGA	 TN	",2016,1413,48
"CINCINNATI	 OH	",2016,1590,7
"COLUMBIA/JEFFERSON CITY	MO	",2016,969,15
"COLUMBUS AFB	 MS	",2016,819,14
"DAVIS-MONTHAN AFB	 AZ	",2016,1239,29
"DES MOINES	 IA	",2016,1425,46
"DULUTH	 MN	",2016,1443,11
"DULUTH	 MN	",2016,1443,26
"EGLIN AFB	 FL	",2016,1356,39
"ESSEX CO	 MA	",2016,2379,45
"FAYETTEVILLE	 AR	",2016,909,47
"FORT COLLINS	 CO	",2016,1536,1
"FORT COLLINS	 CO	",2016,1536,35
"FORT LEAVENWORTH	 KS	",2016,1128,21
"HAMPDEN COUNTY	 MA	",2016,1719,40
"HAWAII COUNTY	 HI	",2016,1731,28
"HELENA	 MT	",2016,1056,25
"NEW LONDON	 CT	",2016,1500,31
"OGDEN/HILL AFB	 UT	",2016,1119,33
"RAPID CITY/ELLSWORTH AFB	 SD	",2016,1116,4
"ABERDEEN PROVING GROUNDS	 MD	",2017,1599,30
"ABERDEEN PROVING GROUNDS	 MD	",2017,1599,42
"ABILENE/DYESS AFB	 TX	",2017,1086,5
"AKRON	 OH	",2017,1236,8
"ALBANY	 GA	",2017,969,10
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2017,1275,3
"ALEXANDRIA	 LA	",2017,1233,36
"ALLENTOWN/BETHLEHEM	 PA	",2017,1611,13
"ALLENTOWN/BETHLEHEM	 PA	",2017,1611,41
"ALTUS AFB	 OK	",2017,873,17
"ANCHORAGE	 AK	",2017,2220,50
"ANN ARBOR	 MI	",2017,1710,37
"ANNISTON/FORT MCCLELLAN AL	",2017,813,9
"ASHEVILLE	 NC	",2017,1530,16
"ASTORIA	 OR	",2017,1206,2
"ASTORIA	 OR	",2017,1206,12
"BALLSTON SPA/ALBANY	 NY	",2017,2070,19
"BALLSTON SPA/ALBANY	 NY	",2017,2070,24
"BALLSTON SPA/ALBANY	 NY	",2017,2070,38
"BANGOR	 ME	",2017,1290,44
"BARSTOW/FORT IRWIN	 CA	",2017,1215,6
"BEALE AFB	 CA	",2017,1827,23
"BEAUFORT/PARRIS ISLAND	 SC	",2017,1494,43
"BISMARCK	 ND	",2017,1398,27
"BLOOMINGTON	 IN	",2017,1158,20
"BOISE	 ID	",2017,1089,22
"BOULDER	 CO	",2017,1854,32
"CHAMPAIGN/URBANA	 IL	",2017,1011,49
CHARLESTON WV,2017,1650,18
"CHARLOTTESVILLE	 VA	",2017,1293,34
"CHATTANOOGA	 TN	",2017,1596,48
"CINCINNATI	 OH	",2017,1431,7
"COLUMBIA/JEFFERSON CITY	MO	",2017,1620,15
"COLUMBUS AFB	 MS	",2017,1056,14
"DAVIS-MONTHAN AFB	 AZ	",2017,912,29
"DES MOINES	 IA	",2017,1203,46
"DULUTH	 MN	",2017,1455,11
"DULUTH	 MN	",2017,1506,26
"EGLIN AFB	 FL	",2017,1500,39
"ESSEX CO	 MA	",2017,2232,45
"FAYETTEVILLE	 AR	",2017,1032,47
"FORT COLLINS	 CO	",2017,1524,1
"FORT COLLINS	 CO	",2017,1524,35
"FORT LEAVENWORTH	 KS	",2017,1287,21
"HAMPDEN COUNTY	 MA	",2017,1527,40
"HAWAII COUNTY	 HI	",2017,1974,28
"HELENA	 MT	",2017,1020,25
"NEW LONDON	 CT	",2017,1485,31
"OGDEN/HILL AFB	 UT	",2017,1146,33
"RAPID CITY/ELLSWORTH AFB	 SD	",2017,1194,4
"ABERDEEN PROVING GROUNDS	 MD	",2018,1647,30
"ABERDEEN PROVING GROUNDS	 MD	",2018,1647,42
"ABILENE/DYESS AFB	 TX	",2018,1104,5
"AKRON	 OH	",2018,1242,8
"ALBANY	 GA	",2018,942,10
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2018,1419,3
"ALEXANDRIA	 LA	",2018,1086,36
"ALLENTOWN/BETHLEHEM	 PA	",2018,1620,13
"ALLENTOWN/BETHLEHEM	 PA	",2018,1620,41
"ALTUS AFB	 OK	",2018,795,17
"ANCHORAGE	 AK	",2018,2133,50
"ANN ARBOR	 MI	",2018,1890,37
"ANNISTON/FORT MCCLELLAN AL	",2018,825,9
"ASHEVILLE	 NC	",2018,1584,16
"ASTORIA	 OR	",2018,1314,2
"ASTORIA	 OR	",2018,1314,12
"BALLSTON SPA/ALBANY	 NY	",2018,1989,19
"BALLSTON SPA/ALBANY	 NY	",2018,1989,24
"BALLSTON SPA/ALBANY	 NY	",2018,1989,38
"BANGOR	 ME	",2018,1206,44
"BARSTOW/FORT IRWIN	 CA	",2018,1263,6
"BEALE AFB	 CA	",2018,2088,23
"BEAUFORT/PARRIS ISLAND	 SC	",2018,1623,43
"BISMARCK	 ND	",2018,1239,27
"BLOOMINGTON	 IN	",2018,1158,20
"BOISE	 ID	",2018,1095,22
"BOULDER	 CO	",2018,1938,32
"CHAMPAIGN/URBANA	 IL	",2018,1023,49
CHARLESTON WV,2018,1626,18
"CHARLOTTESVILLE	 VA	",2018,1164,34
"CHATTANOOGA	 TN	",2018,1533,48
"CINCINNATI	 OH	",2018,1344,7
"COLUMBIA/JEFFERSON CITY	MO	",2018,1692,15
"COLUMBUS AFB	 MS	",2018,1149,14
"DAVIS-MONTHAN AFB	 AZ	",2018,1038,29
"DES MOINES	 IA	",2018,1329,46
"DULUTH	 MN	",2018,1440,11
"DULUTH	 MN	",2018,1386,26
"EGLIN AFB	 FL	",2018,1407,39
"ESSEX CO	 MA	",2018,2403,45
"FAYETTEVILLE	 AR	",2018,1110,47
"FORT COLLINS	 CO	",2018,1707,1
"FORT COLLINS	 CO	",2018,1707,35
"FORT LEAVENWORTH	 KS	",2018,1260,21
"HAMPDEN COUNTY	 MA	",2018,1743,40
"HAWAII COUNTY	 HI	",2018,2007,28
"HELENA	 MT	",2018,999,25
"NEW LONDON	 CT	",2018,1548,31
"OGDEN/HILL AFB	 UT	",2018,1230,33
"RAPID CITY/ELLSWORTH AFB	 SD	",2018,1242,4
"ABERDEEN PROVING GROUNDS	 MD	",2019,1698,30
"ABERDEEN PROVING GROUNDS	 MD	",2019,1698,42
"ABILENE/DYESS AFB	 TX	",2019,1062,5
"AKRON	 OH	",2019,1233,8
"ALBANY	 GA	",2019,963,10
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2019,1377,3
"ALEXANDRIA	 LA	",2019,1011,36
"ALLENTOWN/BETHLEHEM	 PA	",2019,1713,13
"ALLENTOWN/BETHLEHEM	 PA	",2019,1713,41
"ALTUS AFB	 OK	",2019,852,17
"ANCHORAGE	 AK	",2019,2028,50
"ANN ARBOR	 MI	",2019,1818,37
"ANNISTON/FORT MCCLELLAN AL	",2019,837,9
"ASHEVILLE	 NC	",2019,1608,16
"ASTORIA	 OR	",2019,1413,2
"ASTORIA	 OR	",2019,1413,12
"BALLSTON SPA/ALBANY	 NY	",2019,2025,19
"BALLSTON SPA/ALBANY	 NY	",2019,2025,24
"BALLSTON SPA/ALBANY	 NY	",2019,2025,38
"BANGOR	 ME	",2019,1314,44
"BARSTOW/FORT IRWIN	 CA	",2019,1242,6
"BEALE AFB	 CA	",2019,2034,23
"BEAUFORT/PARRIS ISLAND	 SC	",2019,1620,43
"BISMARCK	 ND	",2019,1278,27
"BLOOMINGTON	 IN	",2019,1146,20
"BOISE	 ID	",2019,1197,22
"BOULDER	 CO	",2019,2082,32
"CHAMPAIGN/URBANA	 IL	",2019,1071,49
CHARLESTON WV,2019,1677,18
"CHARLOTTESVILLE	 VA	",2019,1137,34
"CHATTANOOGA	 TN	",2019,1566,48
"CINCINNATI	 OH	",2019,1287,7
"COLUMBIA/JEFFERSON CITY	MO	",2019,1695,15
"COLUMBUS AFB	 MS	",2019,1149,14
"DAVIS-MONTHAN AFB	 AZ	",2019,996,29
"DES MOINES	 IA	",2019,1314,46
"DULUTH	 MN	",2019,1455,11
"DULUTH	 MN	",2019,1488,26
"EGLIN AFB	 FL	",2019,1488,39
"ESSEX CO	 MA	",2019,1452,45
"FAYETTEVILLE	 AR	",2019,2514,47
"FORT COLLINS	 CO	",2019,1143,1
"FORT COLLINS	 CO	",2019,1722,35
"FORT LEAVENWORTH	 KS	",2019,1263,21
"HAMPDEN COUNTY	 MA	",2019,1743,40
"HAWAII COUNTY	 HI	",2019,2205,28
"HELENA	 MT	",2019,999,25
"NEW LONDON	 CT	",2019,1545,31
